ID,歌名,創作人,分類,發佈時間,情緒詞彙數,斷詞數,樂,好,怒,哀,懼,惡,驚,正面情緒值,負面情緒值,正負面情緒值,詞均樂,詞均好,詞均怒,詞均哀,詞均懼,詞均惡,詞均驚,詞均正面情緒值,詞均負面情緒值,詞均正負面情緒值
StreetVoice0118,一個人 Demo,河仁傑,Folk,2015-05-19,44,240,4.8,45.0,0,6.000000000000001,5.625,3.0,7.5,57.3,14.625,42.675,0.02,0.1875,0.0,0.025000000000000005,0.0234375,0.0125,0.03125,0.23875,0.0609375,0.17781249999999998
StreetVoice0119,或許我們都忘了最初說過的話 Demo,好樂團 GoodBand,Pop,2016-10-20,18,76,4.0,11.0,0,25.0,0,14.600000000000001,0,15.0,39.6,-24.6,0.05263157894736842,0.14473684210526316,0.0,0.32894736842105265,0.0,0.19210526315789475,0.0,0.19736842105263158,0.5210526315789474,-0.3236842105263158
StreetVoice0120,你終究不愛這世界,傻子與白痴,Alternative,2017-01-27,10,85,0,20.0,0,-3.0,0,6.0,0,20.0,3.0,17.0,0.0,0.23529411764705882,0.0,-0.03529411764705882,0.0,0.07058823529411765,0.0,0.23529411764705882,0.03529411764705882,0.2
StreetVoice0121,變成一隻魚 (feat. SEMIFUSA),Hello Nico,Alternative,2016-07-25,16,210,0.9999999999999996,1.0,0,0,-2.25,7.0,0,1.9999999999999996,4.75,-2.7500000000000004,0.00476190476190476,0.004761904761904762,0.0,0.0,-0.010714285714285714,0.03333333333333333,0.0,0.009523809523809521,0.02261904761904762,-0.013095238095238097
StreetVoice0122,禮拜天情人(album edition),Mary See the Future,Pop,2013-10-03,17,153,0,4.375,0,5.0,0,13.75,0,4.375,18.75,-14.375,0.0,0.028594771241830064,0.0,0.032679738562091505,0.0,0.08986928104575163,0.0,0.028594771241830064,0.12254901960784313,-0.09395424836601307
StreetVoice0123,辮子,Hello Nico,Alternative,2014-10-17,12,101,0,16.9375,0,-8.4,0,0,0,16.9375,-8.4,25.3375,0.0,0.1676980198019802,0.0,-0.08316831683168317,0.0,0.0,0.0,0.1676980198019802,-0.08316831683168317,0.25086633663366337
StreetVoice0124,沒有人在乎你在乎的事─那我懂你意思了 Cover By 好樂團GoodBand,好樂團 GoodBand,Pop,2017-03-30,21,208,1.25,12.5,0,15.0,0,0,0,13.75,15.0,-1.25,0.006009615384615385,0.06009615384615385,0.0,0.07211538461538461,0.0,0.0,0.0,0.06610576923076923,0.07211538461538461,-0.006009615384615385
StreetVoice0125,不難過,有感覺樂團,Folk,2014-03-02,46,176,20.0,5.3125,0,-18.5,0,20.0,5.0,30.3125,1.5,28.8125,0.11363636363636363,0.030184659090909092,0.0,-0.10511363636363637,0.0,0.11363636363636363,0.028409090909090908,0.17223011363636365,0.008522727272727272,0.16370738636363635
StreetVoice0126,一個人曖昧（single version）,cozy diary_輕日記,Folk,2013-01-17,43,160,0,76.6,0,12.5,0,43.9,0,76.6,56.4,20.199999999999996,0.0,0.47874999999999995,0.0,0.078125,0.0,0.274375,0.0,0.47874999999999995,0.3525,0.12624999999999997
StreetVoice0127,倒數開始 feat.柯泯薰 ,Night Keepers 守夜人,Singer / Songwriter,2017-12-17,23,114,0,0.0,0,-18.75,0,6.25,0,0.0,-12.5,12.5,0.0,0.0,0.0,-0.16447368421052633,0.0,0.05482456140350877,0.0,0.0,-0.10964912280701754,0.10964912280701754
StreetVoice0128,一年後的故事 demo,洪安妮 AnnieHung,Pop,2012-09-24,23,166,14.0,18.75,0,5.125,0,6.0,0,32.75,11.125,21.625,0.08433734939759036,0.11295180722891567,0.0,0.030873493975903613,0.0,0.03614457831325301,0.0,0.19728915662650603,0.06701807228915663,0.1302710843373494
StreetVoice0129,走,謝震廷,Singer / Songwriter,2015-05-27,33,175,10.0,-10.5,7.0,5.0,0,4.0,0,-0.5,16.0,-16.5,0.05714285714285714,-0.06,0.04,0.02857142857142857,0.0,0.022857142857142857,0.0,-0.002857142857142857,0.09142857142857143,-0.09428571428571429
StreetVoice0130,在__崩壞之後,原子邦妮 Astro Bunny,Electronic,2015-03-13,21,108,18.0,13.0,0,10.0,0,15.5,0,31.0,25.5,5.5,0.16666666666666666,0.12037037037037036,0.0,0.09259259259259259,0.0,0.14351851851851852,0.0,0.28703703703703703,0.2361111111111111,0.05092592592592592
StreetVoice0131,愚人遊戲 demo,告五人 Accusefive,Pop,2015-12-09,19,98,7.0,20.0,0,-2.0,0,8.0,10.0,37.0,6.0,31.0,0.07142857142857142,0.20408163265306123,0.0,-0.02040816326530612,0.0,0.08163265306122448,0.10204081632653061,0.37755102040816324,0.061224489795918366,0.3163265306122449
StreetVoice0132,星夜裡的人(acoustic rough),Mary See the Future,Folk,2014-10-20,15,127,0,14.0,0,7.25,0,2.0,5.0,19.0,9.25,9.75,0.0,0.11023622047244094,0.0,0.05708661417322835,0.0,0.015748031496062992,0.03937007874015748,0.14960629921259844,0.07283464566929133,0.07677165354330709
StreetVoice0133,歸屬感,Night Keepers 守夜人,Folk,2017-07-24,25,123,7.0,12.0,0,16.876,0,19.52,0,19.0,36.396,-17.396,0.056910569105691054,0.0975609756097561,0.0,0.13720325203252035,0.0,0.1586991869918699,0.0,0.15447154471544716,0.29590243902439023,-0.1414308943089431
